Districts,Year,Month,Value
Flacq,1879,January,3.77
Flacq,1879,February,7.3
Flacq,1879,March,13.2
Flacq,1879,April,2.5
Flacq,1879,May,5.47
Flacq,1879,June,3.63
Flacq,1879,July,3.1
Flacq,1879,August,7.28
Flacq,1879,September,3.9
Flacq,1879,October,2.2
Flacq,1879,November,0.79
Flacq,1879,December,7.83
Grand Port,1879,January,4.74
Grand Port,1879,February,9.14
Grand Port,1879,March,23.19
Grand Port,1879,April,4.47
Grand Port,1879,May,9.79
Grand Port,1879,June,7.21
Grand Port,1879,July,3.08
Grand Port,1879,August,8.52
Grand Port,1879,September,8.24
Grand Port,1879,October,4.03
Grand Port,1879,November,1.38
Grand Port,1879,December,9.73
Moka,1879,January,12.61
Moka,1879,February,21.41
Moka,1879,March,26.32
Moka,1879,April,4.53
Moka,1879,May,12.93
Moka,1879,June,6.46
Moka,1879,July,6.04
Moka,1879,August,9.67
Moka,1879,September,7.94
Moka,1879,October,4.48
Moka,1879,November,1.33
Moka,1879,December,21.87
Pamplemousses,1879,January,3.39
Pamplemousses,1879,February,8.85
Pamplemousses,1879,March,12.49
Pamplemousses,1879,April,2.7
Pamplemousses,1879,May,6.79
Pamplemousses,1879,June,2.08
Pamplemousses,1879,July,1.42
Pamplemousses,1879,August,3.5
Pamplemousses,1879,September,3.6
Pamplemousses,1879,October,1.48
Pamplemousses,1879,November,0.51
Pamplemousses,1879,December,7.36
Plaines Wilhems,1879,January,3.72
Plaines Wilhems,1879,February,7.81
Plaines Wilhems,1879,March,21.44
Plaines Wilhems,1879,April,1.92
Plaines Wilhems,1879,May,7
Plaines Wilhems,1879,June,2.07
Plaines Wilhems,1879,July,2.16
Plaines Wilhems,1879,August,4.63
Plaines Wilhems,1879,September,3.12
Plaines Wilhems,1879,October,1.66
Plaines Wilhems,1879,November,0.92
Plaines Wilhems,1879,December,8.53
Rivière du Rempart,1879,January,2.11
Rivière du Rempart,1879,February,8.22
Rivière du Rempart,1879,March,16.9
Rivière du Rempart,1879,April,3.25
Rivière du Rempart,1879,May,6.73
Rivière du Rempart,1879,June,3.11
Rivière du Rempart,1879,July,2.23
Rivière du Rempart,1879,August,4.69
Rivière du Rempart,1879,September,3.82
Rivière du Rempart,1879,October,1.57
Rivière du Rempart,1879,November,0.95
Rivière du Rempart,1879,December,9.22
Savanne,1879,January,2.43
Savanne,1879,February,7.29
Savanne,1879,March,15.1
Savanne,1879,April,3.02
Savanne,1879,May,8.07
Savanne,1879,June,4.26
Savanne,1879,July,3.02
Savanne,1879,August,7.02
Savanne,1879,September,7.13
Savanne,1879,October,2.41
Savanne,1879,November,0.67
Savanne,1879,December,5.75
