"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19013_001",53363,3262
"2","19003","Adams County, Iowa","B19013_001",49255,4672
"3","19005","Allamakee County, Iowa","B19013_001",52216,3646
"4","19007","Appanoose County, Iowa","B19013_001",40167,2990
"5","19009","Audubon County, Iowa","B19013_001",52055,4085
"6","19011","Benton County, Iowa","B19013_001",67729,3449
"7","19013","Black Hawk County, Iowa","B19013_001",53539,1157
"8","19015","Boone County, Iowa","B19013_001",64000,2791
"9","19017","Bremer County, Iowa","B19013_001",70395,3362
"10","19019","Buchanan County, Iowa","B19013_001",64837,2975
"11","19021","Buena Vista County, Iowa","B19013_001",57125,2309
"12","19023","Butler County, Iowa","B19013_001",57115,1634
"13","19025","Calhoun County, Iowa","B19013_001",52323,3140
"14","19027","Carroll County, Iowa","B19013_001",59212,2944
"15","19029","Cass County, Iowa","B19013_001",50187,4971
"16","19031","Cedar County, Iowa","B19013_001",67795,3340
"17","19033","Cerro Gordo County, Iowa","B19013_001",53963,1966
"18","19035","Cherokee County, Iowa","B19013_001",56550,4568
"19","19037","Chickasaw County, Iowa","B19013_001",60034,7024
"20","19039","Clarke County, Iowa","B19013_001",54427,3367
"21","19041","Clay County, Iowa","B19013_001",50521,4036
"22","19043","Clayton County, Iowa","B19013_001",53152,2628
"23","19045","Clinton County, Iowa","B19013_001",51688,2798
"24","19047","Crawford County, Iowa","B19013_001",55755,4605
"25","19049","Dallas County, Iowa","B19013_001",88479,3234
"26","19051","Davis County, Iowa","B19013_001",63404,7332
"27","19053","Decatur County, Iowa","B19013_001",44462,2903
"28","19055","Delaware County, Iowa","B19013_001",63750,4121
"29","19057","Des Moines County, Iowa","B19013_001",51267,1559
"30","19059","Dickinson County, Iowa","B19013_001",59969,4159
"31","19061","Dubuque County, Iowa","B19013_001",63031,1310
"32","19063","Emmet County, Iowa","B19013_001",51563,5361
"33","19065","Fayette County, Iowa","B19013_001",51128,2241
"34","19067","Floyd County, Iowa","B19013_001",50406,2688
"35","19069","Franklin County, Iowa","B19013_001",56419,3291
"36","19071","Fremont County, Iowa","B19013_001",56750,4277
"37","19073","Greene County, Iowa","B19013_001",53050,5404
"38","19075","Grundy County, Iowa","B19013_001",68038,3966
"39","19077","Guthrie County, Iowa","B19013_001",61161,2175
"40","19079","Hamilton County, Iowa","B19013_001",60910,3737
"41","19081","Hancock County, Iowa","B19013_001",61761,2156
"42","19083","Hardin County, Iowa","B19013_001",54196,1406
"43","19085","Harrison County, Iowa","B19013_001",63854,1897
"44","19087","Henry County, Iowa","B19013_001",53501,2024
"45","19089","Howard County, Iowa","B19013_001",55060,2985
"46","19091","Humboldt County, Iowa","B19013_001",54575,2456
"47","19093","Ida County, Iowa","B19013_001",58427,3425
"48","19095","Iowa County, Iowa","B19013_001",61443,4740
"49","19097","Jackson County, Iowa","B19013_001",55967,3583
"50","19099","Jasper County, Iowa","B19013_001",58952,2879
"51","19101","Jefferson County, Iowa","B19013_001",47708,5691
"52","19103","Johnson County, Iowa","B19013_001",62542,1520
"53","19105","Jones County, Iowa","B19013_001",57549,5448
"54","19107","Keokuk County, Iowa","B19013_001",52881,2988
"55","19109","Kossuth County, Iowa","B19013_001",56073,1717
"56","19111","Lee County, Iowa","B19013_001",49564,2446
"57","19113","Linn County, Iowa","B19013_001",64903,1373
"58","19115","Louisa County, Iowa","B19013_001",56673,4595
"59","19117","Lucas County, Iowa","B19013_001",55205,6030
"60","19119","Lyon County, Iowa","B19013_001",64982,3295
"61","19121","Madison County, Iowa","B19013_001",66316,5435
"62","19123","Mahaska County, Iowa","B19013_001",54825,3109
"63","19125","Marion County, Iowa","B19013_001",61038,2812
"64","19127","Marshall County, Iowa","B19013_001",56437,2505
"65","19129","Mills County, Iowa","B19013_001",72079,3983
"66","19131","Mitchell County, Iowa","B19013_001",58302,3349
"67","19133","Monona County, Iowa","B19013_001",47605,2995
"68","19135","Monroe County, Iowa","B19013_001",58269,7638
"69","19137","Montgomery County, Iowa","B19013_001",51696,3040
"70","19139","Muscatine County, Iowa","B19013_001",58453,2650
