SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,GEOID,NAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
50,2,4,19,1,Iowa,19001,Adair,Adair County,7682,7682,7679,7546,7466,7385,7365,7142,7006,7047,7028,7102,7084,7059
50,2,4,19,3,Iowa,19003,Adams,Adams County,4029,4029,4023,3994,3910,3890,3874,3752,3690,3655,3628,3602,3595,3588
50,2,4,19,5,Iowa,19005,Allamakee,Allamakee County,14330,14328,14377,14224,14150,14074,14067,13881,13847,13812,13832,13671,13676,13642
50,2,4,19,7,Iowa,19007,Appanoose,Appanoose County,12887,12892,12861,12853,12713,12659,12678,12587,12515,12367,12467,12525,12482,12430
50,2,4,19,9,Iowa,19009,Audubon,Audubon County,6119,6115,6094,6000,5861,5859,5768,5707,5625,5550,5482,5491,5495,5481
50,2,4,19,11,Iowa,19011,Benton,Benton County,26076,26071,26049,26079,25829,25698,25620,25608,25634,25651,25546,25544,25485,25414
50,2,4,19,13,Iowa,19013,Black Hawk,Black Hawk County,131090,131086,131164,131598,131904,132966,133433,133764,133144,132278,131769,131089,130962,130786
50,2,4,19,15,Iowa,19015,Boone,Boone County,26306,26308,26271,26287,26138,26294,26303,26468,26434,26498,26356,26338,26320,26277
50,2,4,19,17,Iowa,19017,Bremer,Bremer County,24276,24280,24296,24383,24499,24585,24678,24755,24796,24861,25022,25170,25323,25311
50,2,4,19,19,Iowa,19019,Buchanan,Buchanan County,20958,20953,20975,20911,20995,21028,21135,21110,20999,21133,21140,21148,21285,21287
50,2,4,19,21,Iowa,19021,Buena Vista,Buena Vista County,20260,20265,20356,20310,20558,20649,20608,20373,20327,20154,19807,19690,19791,19772
50,2,4,19,23,Iowa,19023,Butler,Butler County,14867,14869,14916,14966,14972,14973,14958,14880,14694,14593,14516,14404,14378,14333
50,2,4,19,25,Iowa,19025,Calhoun,Calhoun County,9670,10177,10159,10064,9912,9899,9845,9801,9808,9730,9653,9616,9527,9473
50,2,4,19,27,Iowa,19027,Carroll,Carroll County,20816,20816,20823,20860,20653,20539,20495,20421,20362,20256,20101,20118,19998,19914
50,2,4,19,29,Iowa,19029,Cass,Cass County,13956,13952,13927,13762,13697,13569,13394,13354,13198,13155,12959,12822,12840,12817
50,2,4,19,31,Iowa,19031,Cedar,Cedar County,18499,18445,18453,18362,18299,18229,18278,18257,18351,18488,18508,18541,18517,18485
50,2,4,19,33,Iowa,19033,Cerro Gordo,Cerro Gordo County,44151,44151,44097,43971,43704,43537,43224,43006,43107,43030,42643,42477,42247,42103
50,2,4,19,35,Iowa,19035,Cherokee,Cherokee County,12072,12067,12110,12027,11954,11876,11803,11488,11386,11315,11281,11231,11218,11190
50,2,4,19,37,Iowa,19037,Chickasaw,Chickasaw County,12439,12442,12411,12407,12289,12273,12250,12152,12098,12008,11965,11943,11872,11834
50,2,4,19,39,Iowa,19039,Clarke,Clarke County,9286,9286,9321,9318,9339,9244,9192,9213,9293,9395,9489,9382,9386,9353
50,2,4,19,41,Iowa,19041,Clay,Clay County,16667,16667,16633,16598,16540,16440,16483,16498,16301,16151,16167,16094,16030,15976
