station,january,temperature
"Beau SŽjour, Plaines Wilhems",1871,23.7
"Beau SŽjour, Plaines Wilhems",1872,24.6
"Beau SŽjour, Plaines Wilhems",1873,25.2
"Beau SŽjour, Plaines Wilhems",1874,24.6
"Beau SŽjour, Plaines Wilhems",1875,24.3
"Beau SŽjour, Plaines Wilhems",1876,24.6
"Beau SŽjour, Plaines Wilhems",1877,25.1
"Beau SŽjour, Plaines Wilhems",1878,25.5
"Beau SŽjour, Plaines Wilhems",1879,24.6
"Observatory, Pamplemousses",1871,26.2
"Observatory, Pamplemousses",1872,25.8
"Observatory, Pamplemousses",1873,26.8
"Observatory, Pamplemousses",1874,26.2
"Observatory, Pamplemousses",1875,26.7
"Observatory, Pamplemousses",1876,26.5
"Observatory, Pamplemousses",1877,26.8
"Observatory, Pamplemousses",1878,27.1
"Observatory, Pamplemousses",1879,25.9
