Districts,Data,Year,Value
Black River,Fever,1871,184
Flacq,Fever,1871,418
Grand Port,Fever,1871,511
Moka,Fever,1871,164
Pamplemousses,Fever,1871,482
Plaines Wilhems,Fever,1871,250
Port Louis,Fever,1871,1001
Rivière du Rempart,Fever,1871,209
Savanne,Fever,1871,373
Black River,Fever,1872,154
Flacq,Fever,1872,635
Grand Port,Fever,1872,724
Moka,Fever,1872,166
Pamplemousses,Fever,1872,460
Plaines Wilhems,Fever,1872,350
Port Louis,Fever,1872,1332
Rivière du Rempart,Fever,1872,166
Savanne,Fever,1872,313
Black River,Fever,1873,217
Flacq,Fever,1873,665
Grand Port,Fever,1873,557
Moka,Fever,1873,231
Pamplemousses,Fever,1873,748
Plaines Wilhems,Fever,1873,502
Port Louis,Fever,1873,1717
Rivière du Rempart,Fever,1873,237
Savanne,Fever,1873,298
Black River,Fever,1874,245
Flacq,Fever,1874,555
Grand Port,Fever,1874,435
Moka,Fever,1874,207
Pamplemousses,Fever,1874,677
Plaines Wilhems,Fever,1874,384
Port Louis,Fever,1874,1233
Rivière du Rempart,Fever,1874,195
Savanne,Fever,1874,247
Black River,Fever,1875,225
Flacq,Fever,1875,607
Grand Port,Fever,1875,474
Moka,Fever,1875,201
Pamplemousses,Fever,1875,584
Plaines Wilhems,Fever,1875,472
Port Louis,Fever,1875,1140
Rivière du Rempart,Fever,1875,196
Savanne,Fever,1875,271
Black River,Fever,1876,279
Flacq,Fever,1876,841
Grand Port,Fever,1876,642
Moka,Fever,1876,278
Pamplemousses,Fever,1876,546
Plaines Wilhems,Fever,1876,486
Port Louis,Fever,1876,1158
Rivière du Rempart,Fever,1876,255
Savanne,Fever,1876,490
Black River,Fever,1877,303
Flacq,Fever,1877,969
Grand Port,Fever,1877,422
Moka,Fever,1877,306
Pamplemousses,Fever,1877,917
Plaines Wilhems,Fever,1877,536
Port Louis,Fever,1877,1700
Rivière du Rempart,Fever,1877,327
Savanne,Fever,1877,406
Black River,Fever,1878,260
Flacq,Fever,1878,759
Grand Port,Fever,1878,737
Moka,Fever,1878,286
Pamplemousses,Fever,1878,617
Plaines Wilhems,Fever,1878,517
Port Louis,Fever,1878,1377
Rivière du Rempart,Fever,1878,241
Savanne,Fever,1878,346
Black River,Fever,1879,282
Flacq,Fever,1879,862
Grand Port,Fever,1879,787
Moka,Fever,1879,270
Pamplemousses,Fever,1879,621
Plaines Wilhems,Fever,1879,543
Port Louis,Fever,1879,1427
Rivière du Rempart,Fever,1879,211
Savanne,Fever,1879,408
Black River,Total,1871,301
Flacq,Total,1871,1002
Grand Port,Total,1871,1197
Moka,Total,1871,475
Pamplemousses,Total,1871,1051
Plaines Wilhems,Total,1871,845
Port Louis,Total,1871,2029
Rivière du Rempart,Total,1871,469
Savanne,Total,1871,804
Black River,Total,1872,293
Flacq,Total,1872,1239
Grand Port,Total,1872,1419
Moka,Total,1872,517
Pamplemousses,Total,1872,935
Plaines Wilhems,Total,1872,919
Port Louis,Total,1872,2305
Rivière du Rempart,Total,1872,374
Savanne,Total,1872,745
Black River,Total,1873,377
Flacq,Total,1873,1493
Grand Port,Total,1873,1362
Moka,Total,1873,661
Pamplemousses,Total,1873,1396
Plaines Wilhems,Total,1873,1303
Port Louis,Total,1873,3412
Rivière du Rempart,Total,1873,472
Savanne,Total,1873,746
Black River,Total,1874,445
Flacq,Total,1874,1399
Grand Port,Total,1874,1277
Moka,Total,1874,707
Pamplemousses,Total,1874,1284
Plaines Wilhems,Total,1874,1107
Port Louis,Total,1874,2436
Rivière du Rempart,Total,1874,486
Savanne,Total,1874,848
Black River,Total,1875,374
Flacq,Total,1875,1154
Grand Port,Total,1875,1046
Moka,Total,1875,529
Pamplemousses,Total,1875,1023
Plaines Wilhems,Total,1875,1056
Port Louis,Total,1875,2322
Rivière du Rempart,Total,1875,465
Savanne,Total,1875,617
Black River,Total,1876,453
Flacq,Total,1876,1382
Grand Port,Total,1876,1243
Moka,Total,1876,624
Pamplemousses,Total,1876,964
Plaines Wilhems,Total,1876,1161
Port Louis,Total,1876,2392
Rivière du Rempart,Total,1876,505
Savanne,Total,1876,817
Black River,Total,1877,455
Flacq,Total,1877,1521
Grand Port,Total,1877,1024
Moka,Total,1877,620
Pamplemousses,Total,1877,1334
Plaines Wilhems,Total,1877,1012
Port Louis,Total,1877,3041
Rivière du Rempart,Total,1877,579
Savanne,Total,1877,770
Black River,Total,1878,442
Flacq,Total,1878,1272
Grand Port,Total,1878,1355
Moka,Total,1878,691
Pamplemousses,Total,1878,951
Plaines Wilhems,Total,1878,1114
Port Louis,Total,1878,2577
Rivière du Rempart,Total,1878,506
Savanne,Total,1878,699
Black River,Total,1879,486
Flacq,Total,1879,1717
Grand Port,Total,1879,1721
Moka,Total,1879,758
Pamplemousses,Total,1879,1106
Plaines Wilhems,Total,1879,1267
Port Louis,Total,1879,2848
Rivière du Rempart,Total,1879,485
Savanne,Total,1879,1070
