Districts,Data,Year,Value
Flacq,Rainfall,1871,61.88
Flacq,Rainfall,1872,58.39
Flacq,Rainfall,1873,64.86
Flacq,Rainfall,1874,75.96
Flacq,Rainfall,1875,52.62
Flacq,Rainfall,1876,51.71
Flacq,Rainfall,1877,93.54
Flacq,Rainfall,1878,60.05
Flacq,Rainfall,1879,60.97
Grand Port,Rainfall,1871,87.56
Grand Port,Rainfall,1872,81.53
Grand Port,Rainfall,1873,94.41
Grand Port,Rainfall,1874,109.01
Grand Port,Rainfall,1875,100.24
Grand Port,Rainfall,1876,74.37
Grand Port,Rainfall,1877,122.03
Grand Port,Rainfall,1878,102.66
Grand Port,Rainfall,1879,93.52
Moka,Rainfall,1871,119.06
Moka,Rainfall,1872,117.62
Moka,Rainfall,1873,122.88
Moka,Rainfall,1874,128.85
Moka,Rainfall,1875,106.94
Moka,Rainfall,1876,101.13
Moka,Rainfall,1877,157.67
Moka,Rainfall,1878,108.39
Moka,Rainfall,1879,135.59
Pamplemousses,Rainfall,1871,49.07
Pamplemousses,Rainfall,1872,50.84
Pamplemousses,Rainfall,1873,78.45
Pamplemousses,Rainfall,1874,69.18
Pamplemousses,Rainfall,1875,52.99
Pamplemousses,Rainfall,1876,46.09
Pamplemousses,Rainfall,1877,79.52
Pamplemousses,Rainfall,1878,47.82
Pamplemousses,Rainfall,1879,54.17
Plaines Wilhems,Rainfall,1871,53.21
Plaines Wilhems,Rainfall,1872,66.18
Plaines Wilhems,Rainfall,1873,82.69
Plaines Wilhems,Rainfall,1874,105.56
Plaines Wilhems,Rainfall,1875,67.1
Plaines Wilhems,Rainfall,1876,64.01
Plaines Wilhems,Rainfall,1877,96.2
Plaines Wilhems,Rainfall,1878,63.11
Plaines Wilhems,Rainfall,1879,64.98
Rivière du Rempart,Rainfall,1871,50.52
Rivière du Rempart,Rainfall,1872,44.2
Rivière du Rempart,Rainfall,1873,70.04
Rivière du Rempart,Rainfall,1874,64.48
Rivière du Rempart,Rainfall,1875,76
Rivière du Rempart,Rainfall,1876,70.65
Rivière du Rempart,Rainfall,1877,103.34
Rivière du Rempart,Rainfall,1878,52.86
Rivière du Rempart,Rainfall,1879,62.8
Savanne,Rainfall,1871,76.11
Savanne,Rainfall,1872,77.33
Savanne,Rainfall,1873,89.78
Savanne,Rainfall,1874,91.47
Savanne,Rainfall,1875,85.43
Savanne,Rainfall,1876,69.61
Savanne,Rainfall,1877,119.16
Savanne,Rainfall,1878,84.26
Savanne,Rainfall,1879,66.17
